Timestamp,Age,Gender,School Level,"What is the size of your class?
(Please enter the total number of students in your class.)",How supportive is your family? ,"How much support do you get from your siblings?
",  How often is there conflict at home?  ,Do your parents monitor your schoolwork and activities?,How many close friends do you have at school?,How much support do you get from your friends?,How supportive are your teachers?,Is there a system for reporting bullying at your school,Do teachers supervise students properly in class and during recess?,How safe do you feel at school?,How stressed do you feel at school,How would you rate your self-esteem/confidence?,How often do you feel lonely at school?,How often do you use social media?,Have you ever been bullied at school,"If yes, what type of bullying have you experienced? (Select all that apply)  ",How often have you experienced this bullying? , What do you usually do when someone bullies you? (Select all that apply)
10/27/2025 22:40:49,21,Female,College/Pre-University/University,50,High,Often,Sometimes,Not at all,More than 5,Always,High,No,Never,Safe,Low,Low,Sometimes,3-5 hours,Yes,Verbal,Rarely,"Tell a friend, Ignore it/keep it to myself"
10/27/2025 22:40:52,22,Female,College/Pre-University/University,60+,Very High,Always,Sometimes,Sometimes,3-5,Often,Low,Not sure,Never,Safe,Low,High,Sometimes,3-5 hours,Yes,"Verbal, Relational / Social",Sometimes,"Ignore it/keep it to myself, Fight back or defend myself, Post about it online"
10/27/2025 22:43:36,17,Female,Secondary School,48,High,Always,Sometimes,Sometimes,3-5,Often,Low,Yes,Often,Safe,Low,Low,Sometimes,3-5 hours,Yes,Verbal,Often,"Tell a friend, Ignore it/keep it to myself, Fight back or defend myself"
10/27/2025 22:44:55,21,Female,College/Pre-University/University,400,Low,Never,Sometimes,Often,3-5,Sometimes,Very Low,Yes,Never,Slightly safe,High,Low,Sometimes,more than 5 hours,Yes,"Verbal, Relational / Social",Often,Ignore it/keep it to myself
10/27/2025 22:47:53,12,Female,Primary School,29,High,Always,Often,Sometimes,1-2,Sometimes,Low,Not sure,Always,Safe,Low,Low,Often,1-2 hours,Yes,"Physical, Verbal, Relational / Social, Cyber",Sometimes,"Tell a friend, Ignore it/keep it to myself"
10/27/2025 22:58:47,21,Female,College/Pre-University/University,50,High,Often,Sometimes,Sometimes,3-5,Sometimes,Low,No,Sometimes,Safe,High,Low,Sometimes,3-5 hours,Yes,"Physical, Verbal, Relational / Social",Sometimes,"Tell a parent or family member, Ignore it/keep it to myself"
10/27/2025 23:13:59,21,Female,College/Pre-University/University,50,Very High,Often,Sometimes,Sometimes,3-5,Often,High,Yes,Sometimes,Safe,Low,High,Sometimes,3-5 hours,No,,,
10/27/2025 23:20:14,21,Female,College/Pre-University/University,300,Very High,Sometimes,Sometimes,Often,1-2,Often,Low,Not sure,Sometimes,Safe,High,Low,Sometimes,more than 5 hours,Yes,"Physical, Relational / Social",Rarely,"Tell a parent or family member, Ignore it/keep it to myself, Fight back or defend myself"
10/27/2025 23:21:11,21,Female,College/Pre-University/University,16,Low,Often,Sometimes,Sometimes,3-5,Sometimes,High,No,Often,Safe,High,Low,Sometimes,more than 5 hours,No,,,
10/27/2025 23:23:13,20,Female,College/Pre-University/University,30,Low,Sometimes,Sometimes,Not at all,3-5,Sometimes,Low,No,Often,Safe,Low,Low,Never,more than 5 hours,No,,,
10/28/2025 0:51:01,22,Female,College/Pre-University/University,42,High,Sometimes,Sometimes,Not at all,3-5,Always,Low,No,Never,Safe,Very High,High,Never,1-2 hours,Yes,Sexual,Rarely,Tell a friend
10/28/2025 7:32:02,32,Male,College/Pre-University/University,49,High,Often,Sometimes,Sometimes,1-2,Sometimes,High,No,Sometimes,Safe,Low,High,Sometimes,more than 5 hours,Yes,"Physical, Relational / Social",Rarely,Ignore it/keep it to myself
10/28/2025 7:32:16,21,Female,College/Pre-University/University,30,High,Sometimes,Never,Sometimes,3-5,Often,Low,No,Sometimes,Slightly safe,High,Low,Sometimes,more than 5 hours,No,,,
10/28/2025 7:34:01,21,Female,College/Pre-University/University,30,Very High,Always,Sometimes,Often,3-5,Often,High,Not sure,Often,Safe,Low,High,Sometimes,3-5 hours,No,,,
10/28/2025 9:18:53,21,Female,College/Pre-University/University,15,Very High,Often,Sometimes,Not at all,3-5,Always,Low,Not sure,Sometimes,Slightly safe,High,High,Sometimes,3-5 hours,No,,,
10/28/2025 14:59:28,22,Female,College/Pre-University/University,118,Very High,Always,Sometimes,Not at all,3-5,Always,High,Not sure,Sometimes,Safe,High,High,Sometimes,more than 5 hours,No,,,
10/30/2025 11:00:09,21,Male,College/Pre-University/University,21,Low,Sometimes,Sometimes,Not at all,3-5,Always,Very High,No,Never,Safe,Low,Low,Sometimes,more than 5 hours,Yes,Verbal,Sometimes,"Ignore it, cuz I don't care about it"
10/30/2025 11:01:31,21,Female,College/Pre-University/University,30,High,Often,Sometimes,Often,3-5,Always,High,Not sure,Sometimes,Slightly safe,Low,High,Sometimes,3-5 hours,No,,,
10/30/2025 11:06:22,21,Female,College/Pre-University/University,23,High,Often,Sometimes,Sometimes,3-5,Often,High,Yes,Often,Safe,High,High,Sometimes,3-5 hours,Yes,"Verbal, Relational / Social",Sometimes,"Tell a parent or family member, Tell a friend"
10/30/2025 11:10:24,17,Female,Secondary School,39,Low,Sometimes,Sometimes,Sometimes,3-5,Often,Low,No,Sometimes,Slightly safe,Low,High,Never,1-2 hours,No,,,
10/30/2025 11:10:29,19,Female,College/Pre-University/University,30,High,Often,Sometimes,Sometimes,More than 5,Often,Low,Not sure,Sometimes,Safe,Low,High,Never,more than 5 hours,No,,,
10/30/2025 11:14:00,18,Female,College/Pre-University/University,30,High,Often,Sometimes,Sometimes,1-2,Sometimes,High,No,Sometimes,Slightly safe,High,Low,Sometimes,3-5 hours,Yes,"Verbal, Relational / Social",Sometimes,Ignore it/keep it to myself
10/30/2025 11:42:47,21,Female,College/Pre-University/University,50,Very High,Always,Always,Always,More than 5,Always,Very High,Not sure,Always,Very safe,Very High,High,Sometimes,more than 5 hours,No,,,
10/30/2025 11:42:49,21,Female,College/Pre-University/University,50,Very High,Always,Sometimes,Sometimes,3-5,Often,High,Not sure,Often,Very safe,Low,High,Never,more than 5 hours,No,,,
10/30/2025 11:43:33,21,Male,College/Pre-University/University,50,High,Often,Sometimes,Sometimes,More than 5,Always,Low,Not sure,Never,Safe,High,Very Low,Sometimes,3-5 hours,Yes,"Verbal, Relational / Social",Rarely,"Tell a friend, Ignore it/keep it to myself, Fight back or defend myself"
10/30/2025 11:47:38,21,Female,College/Pre-University/University,45,High,Often,Often,Not at all,3-5,Sometimes,High,No,Often,Safe,High,High,Sometimes,3-5 hours,No,,,
10/30/2025 11:55:36,21,Female,College/Pre-University/University,30,High,Always,Sometimes,Not at all,3-5,Always,High,Not sure,Sometimes,Safe,Low,High,Sometimes,more than 5 hours,No,,,
10/30/2025 12:02:12,22,Male,College/Pre-University/University,53,Low,Sometimes,Sometimes,Sometimes,More than 5,Sometimes,High,Not sure,Sometimes,Safe,High,High,Sometimes,more than 5 hours,Yes,"Verbal, Cyber",Sometimes,"Tell a friend, Ignore it/keep it to myself"
10/30/2025 12:15:34,21,Female,College/Pre-University/University,15,High,Always,Sometimes,Sometimes,3-5,Always,High,Yes,Often,Safe,Low,High,Sometimes,more than 5 hours,No,,,
10/30/2025 12:32:12,28,Male,College/Pre-University/University,100,High,Sometimes,Sometimes,Often,None,Never,Very Low,No,Never,Slightly safe,High,Very Low,Always,more than 5 hours,No,,,
10/30/2025 12:37:45,22,Male,College/Pre-University/University,60,High,Sometimes,Sometimes,Sometimes,3-5,Sometimes,High,No,Sometimes,Slightly safe,High,Low,Sometimes,1-2 hours,No,,,
10/30/2025 12:46:16,21,Male,College/Pre-University/University,30,High,Sometimes,Sometimes,Not at all,3-5,Often,Low,Yes,Sometimes,Slightly safe,High,Very Low,Sometimes,more than 5 hours,No,,,
10/30/2025 13:18:02,21,Female,College/Pre-University/University,35,Low,Sometimes,Sometimes,Not at all,1-2,Often,High,No,Sometimes,Safe,High,Low,Sometimes,more than 5 hours,No,,,
10/30/2025 14:38:02,22,Female,College/Pre-University/University,36,High,Always,Sometimes,Sometimes,3-5,Sometimes,Low,Yes,Sometimes,Safe,High,High,Never,3-5 hours,No,,,
10/30/2025 14:38:31,22,Male,College/Pre-University/University,35,High,Often,Sometimes,Sometimes,3-5,Often,Low,Not sure,Sometimes,Safe,Low,High,Sometimes,more than 5 hours,Yes,Verbal,Rarely,"Tell a friend, Ignore it/keep it to myself, Fight back or defend myself"
10/30/2025 14:46:43,21,Female,College/Pre-University/University,25,High,Sometimes,Sometimes,Sometimes,3-5,Often,Low,No,Often,Slightly safe,High,Low,Sometimes,more than 5 hours,No,,,
10/30/2025 14:48:30,20,Female,College/Pre-University/University,100,High,Sometimes,Sometimes,Not at all,1-2,Sometimes,High,Not sure,Sometimes,Safe,High,High,Sometimes,3-5 hours,Yes,"Verbal, Relational / Social",Rarely,Ignore it/keep it to myself
10/30/2025 17:04:45,21,Male,College/Pre-University/University,50,Very High,Always,Sometimes,Sometimes,More than 5,Always,Very High,Not sure,Often,Safe,Low,High,Never,more than 5 hours,No,,,
10/30/2025 17:09:53,22,Male,College/Pre-University/University,50,High,Often,Sometimes,Sometimes,3-5,Often,Very High,No,Sometimes,Very safe,Low,High,Sometimes,3-5 hours,No,,,
10/30/2025 18:59:39,28,Female,College/Pre-University/University,8,High,Often,Sometimes,Not at all,3-5,Always,High,No,Sometimes,Safe,Low,Very High,Sometimes,more than 5 hours,No,,,
10/30/2025 20:52:02,22,Female,College/Pre-University/University,10,High,Often,Sometimes,Sometimes,1-2,Sometimes,High,Yes,Often,Safe,Low,Low,Sometimes,1-2 hours,No,,,
10/30/2025 21:06:22,18,Female,Secondary School,35,High,Often,Sometimes,Often,3-5,Always,High,No,Never,Slightly safe,High,Low,Sometimes,more than 5 hours,No,,,
10/30/2025 21:47:19,21,Male,College/Pre-University/University,20,High,Sometimes,Sometimes,Not at all,1-2,Sometimes,High,Not sure,Never,Slightly safe,Low,High,Sometimes,3-5 hours,No,,,
10/30/2025 21:48:36,20,Female,College/Pre-University/University,130,High,Sometimes,Sometimes,Not at all,1-2,Sometimes,Low,Not sure,Sometimes,Safe,Low,Low,Sometimes,3-5 hours,No,,,
10/30/2025 22:28:14,23,Male,College/Pre-University/University,80,High,Sometimes,Always,Always,More than 5,Always,Low,No,Sometimes,Slightly safe,Very High,High,Always,more than 5 hours,Yes,"Physical, Verbal, Relational / Social",Sometimes,"Tell a parent or family member, Tell a friend, Fight back or defend myself"
10/30/2025 22:42:09,25,Male,College/Pre-University/University,53,High,Often,Always,Often,1-2,Often,High,Yes,Often,Safe,Very High,High,Often,more than 5 hours,Yes,"Relational / Social, Cyber",Always,"Tell a friend, Fight back or defend myself"
10/30/2025 22:44:54,21,Male,College/Pre-University/University,13,Very High,Always,Sometimes,Sometimes,3-5,Often,High,Not sure,Never,Safe,High,Low,Sometimes,more than 5 hours,Yes,"Verbal, Relational / Social",Rarely,Ignore it/keep it to myself
10/30/2025 22:45:12,21,Female,College/Pre-University/University,61,High,Sometimes,Sometimes,Not at all,3-5,Often,High,Not sure,Sometimes,Safe,Low,Low,Never,3-5 hours,Yes,Verbal,Rarely,"Ignore it/keep it to myself, Fight back or defend myself"
10/30/2025 22:48:02,21,Female,College/Pre-University/University,71,High,Sometimes,Sometimes,Not at all,3-5,Often,High,Not sure,Often,Safe,Low,High,Sometimes,1-2 hours,Yes,"Relational / Social, Cyber",Rarely,"Tell a friend, Ignore it/keep it to myself"
10/30/2025 22:55:22,21,Female,College/Pre-University/University,80,Very High,Often,Often,Often,3-5,Always,High,Yes,Always,Very safe,High,Low,Sometimes,3-5 hours,No,,,
10/30/2025 23:02:10,21,Female,College/Pre-University/University,150,High,Often,Sometimes,Not at all,1-2,Often,Very Low,Yes,Sometimes,Very safe,Low,Low,Sometimes,more than 5 hours,No,,,
